,id,textBook,grade,articleId,Page,sentenceId,sentence,mask_id,masked_Word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,92,NH,1,6,P38,7,I play the guitar in a band.,7,band,[CLS],I,play,the,guitar,in,a,[MASK],.,[SEP],,,,,,,,,,,,,,,,
1,1255,NH,3,11,P53,16,We could see a band of bright green lights in the sky.,5,band,[CLS],We,could,see,a,[MASK],of,bright,green,lights,in,the,sky,.,[SEP],,,,,,,,,,,
2,1088,NH,3,3,P16,13,It's made from beef.,5,beef,[CLS],It,'s,made,from,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,
3,111,NH,1,6,P42,26,I want a black belt.,5,belt,[CLS],I,want,a,black,[MASK],.,[SEP],,,,,,,,,,,,,,,,,,
4,442,NH,1,32,P128,12,"Take off your clothes, and Put salt and vinegar on your bodies…",13,bodies,[CLS],Take,off,your,clothes,",",and,Put,salt,and,vinegar,on,your,[MASK],…,[SEP],,,,,,,,,,
5,1273,NH,3,12,P55,12,They had burns all over their bodies.,7,bodies,[CLS],They,had,burns,all,over,their,[MASK],.,[SEP],,,,,,,,,,,,,,,,
6,1271,NH,3,12,P55,10,"On the morning of that day, a big bomb fell on the city of Hiroshima.",10,bomb,[CLS],On,the,morning,of,that,day,",",a,big,[MASK],fell,on,the,city,of,Hiroshima,.,[SEP],,,,,,,
7,486,NH,2,3,P8,7,I was looking for my pencil case.,7,case,[CLS],I,was,looking,for,my,pencil,[MASK],.,[SEP],,,,,,,,,,,,,,,,
8,1303,NH,3,13,P58,3,"In case of a fire, go outside.",2,case,[CLS],In,[MASK],of,a,fire,",",go,outside,.,[SEP],,,,,,,,,,,,,,,
9,1306,NH,3,13,P58,6,"In case of an earthquake, cover your head first.",2,case,[CLS],In,[MASK],of,an,earthquake,",",cover,your,head,first,.,[SEP],,,,,,,,,,,,,
10,579,NH,2,8,P34,8,I want to be a chef.,6,chef,[CLS],I,want,to,be,a,[MASK],.,[SEP],,,,,,,,,,,,,,,,,
