,sentence,masked_word
0,I play the guitar in a [MASK].,band
1,We could see a [MASK] of bright green lights in the sky.,band
2,It's made from [MASK].,beef
3,I want a black [MASK].,belt
4,"Take off your clothes, and Put salt and vinegar on your [MASK]…",bodies
5,They had burns all over their [MASK].,bodies
6,"On the morning of that day, a big [MASK] fell on the city of Hiroshima.",bomb
7,I was looking for my pencil [MASK].,case
8,"In [MASK] of a fire, go outside.",case
9,"In [MASK] of an earthquake, cover your head first.",case
10,I want to be a [MASK].,chef
11,There was a [MASK] hallway.  ,dark
12,"It’s [MASK] in Japan, so it’s spring in Brazil.",fall
13,"On the morning of that day, a big bomb [MASK] on the city of Hiroshima.",fell
14,Some of the people [MASK] down near me.,fell
15,"She began to [MASK], but Rudolf caught her in his arms and carried her to a sofa in the room.  ",fall
16,"Tsutomu’s Italian voice trainer once said to him, Your voice is a [MASK] from God, and also from your father.",gift
17,What is your next [MASK]?,goal
18,"But as we were all working hard for the same [MASK], we came to accept one another.  ",goal
19,It took about one and a [MASK] hours by plane.,half
20,This is the dining [MASK].,hall
21,So I remember this [MASK] from many scenes.,hall
22,I [MASK] my father and mother.,hate
23,A [MASK] and his friends travel to the stars to search for treasure.,hero
24,Everyone in my [MASK] family is kind to me.,host
25,But my [MASK] mother always gives me too much food.,host
26,You must tell your [MASK] mother.,host
27,My [MASK] family is very busy.,host
28,Saki’s [MASK] family always takes her to interesting places.,host
29,"Carlo, you must not compare [MASK] families.",host
30,Let's [MASK] in touch.,keep
31,And I think it’s important to [MASK] the past in mind.,keep
32,"In my opinion, you should [MASK] thinking about the best way to live with robots.",keep
33,"The world that she wants may not come easily, but she [MASK] striving for it.",keeps
34,I’m going to [MASK] playing volleyball.  ,keep
35,Do you [MASK] about judo?,know
36,Do you [MASK] the animals of Australia?,know
37,I [MASK] koalas and kangaroos.,know
38,I don’t [MASK].,know
39,Do you [MASK] this book?,know
40,Do you [MASK] any other good books?,know
41,"Oh, I [MASK] Peter Rabbit.",know
42,Do you [MASK] about her?,know
43,Maybe you [MASK] it from the Harry Potter movies.,know
44,She [MASK] a lot about nature.,knows
45,But I don’t [MASK] how.,know
46,Did you [MASK] that shampoo bottles have bumps?,know
47,Winter [MASK] that Sawyer saved her life.,knows
48,"I [MASK] little about them before, but I learned that both are much loved in foreign countries.",knew
49,Today aloha shirts are [MASK] around the world as example of Hawaiian culture.,known
50,How did you [MASK] that?,know
51,How long have you [MASK] him?,known
52,The children in today’s video don’t [MASK] that cacao is made into chocolate.,know
53,Do you [MASK] what to do in an emergency?,know
54,Do you [MASK] what they can do?,know
55,I [MASK] what you mean. ,know
56,"If they get out of control, we don’t [MASK] what they’ll do.",know
57,Michio saw how humans and animals shared the [MASK].  ,land
58,I want to be a player who can [MASK] a team to the national tournament.,lead
59,Its [MASK] palace is popular.  ,main
60,The man is changing his [MASK] so fast.,masks
61,Rudolf [MASK] it up.  ,picked
62,What are your [MASK] for the holidays?,plans
63,Do you have any [MASK] next Sunday afternoon?,plans
64,Your [MASK] surprised me very much.,plan
65,He [MASK] a charity event with volunteers.,plans
66,It is longer than a 25-meter swimming [MASK]!,pool
67,"If you’re in a wheelchair, or [MASK] a stroller, you can use the ramp.",pushing
68,"Third, a solar cooker is [MASK] because it does not make smoke.  ",safe
69,Wait in a [MASK] place until it stops.,safe
70,There are many [MASK] for the audience.,seats
71,That's almost twice the [MASK] of Japan.,size
72,"In fact, ukiyo-e prints were [MASK] like posters.",sold
73,It says more than fifty products are [MASK] here.,sold
74,Many cacao farm workers are very poor because cacao is [MASK] at a low price.,sold
75,My favorite activity was a husky [MASK].,tour
